,id,userId,stockId,groupId,semesterId,timestamp,price
19326,19568,170,8,11,2,2022-09-12 15:32:45,20.0
19328,19570,805,78,9,2,2022-09-12 15:48:21,19.0
19330,19572,369,21,11,2,2022-09-12 15:52:46,21.0
19331,19573,404,129,19,2,2022-09-12 15:53:11,30.0
19335,19577,6,14,1,2,2022-09-12 16:02:18,18.0
19337,19579,11,14,1,2,2022-09-12 16:02:32,18.0
19339,19581,381,136,19,2,2022-09-12 16:09:30,17.0
19340,19582,381,136,19,2,2022-09-12 16:09:30,17.0
19342,19584,381,136,19,2,2022-09-12 16:09:32,17.0
19343,19585,381,136,19,2,2022-09-12 16:09:32,17.0
19344,19586,349,75,24,2,2022-09-12 16:14:36,22.0
19345,19587,298,8,6,2,2022-09-12 16:29:45,20.0
19346,19588,87,181,21,2,2022-09-12 16:32:45,25.0
19347,19589,499,14,24,2,2022-09-12 16:37:36,18.0
19348,19590,385,138,19,2,2022-09-12 16:57:43,13.0
19349,19591,354,52,29,2,2022-09-12 16:59:20,18.0
19352,19594,381,136,19,2,2022-09-12 17:10:04,17.0
19355,19597,326,14,7,2,2022-09-12 17:14:41,19.0
19356,19598,82,44,30,2,2022-09-12 17:16:34,19.0
19357,19599,634,44,30,2,2022-09-12 17:16:41,19.0
19358,19600,141,8,29,2,2022-09-12 17:17:31,17.0
19359,19601,235,8,29,2,2022-09-12 17:18:20,17.0
19360,19602,235,8,29,2,2022-09-12 17:18:20,17.0
19361,19603,93,54,12,2,2022-09-12 17:21:38,19.0
19369,19611,282,14,24,2,2022-09-12 17:27:43,18.0
19372,19614,493,54,2,2,2022-09-12 17:43:44,19.0
19380,19622,119,21,21,2,2022-09-12 18:07:35,10.0
19381,19623,805,78,9,2,2022-09-12 18:14:04,19.0
19382,19624,544,75,24,2,2022-09-12 18:14:09,22.0
19383,19625,544,43,24,2,2022-09-12 18:14:09,19.0
19384,19626,805,78,9,2,2022-09-12 18:14:19,19.0
19385,19627,491,75,24,2,2022-09-12 18:15:03,22.0
19386,19628,425,75,24,2,2022-09-12 18:16:33,22.0
19387,19629,114,14,11,2,2022-09-12 18:17:24,18.0
19393,19635,161,21,11,2,2022-09-12 18:29:47,21.0
19394,19636,161,21,11,2,2022-09-12 18:29:47,21.0
19395,19637,138,54,2,2,2022-09-12 18:29:51,19.0
19399,19641,126,52,2,2,2022-09-12 18:34:08,19.0
19405,19647,233,8,7,2,2022-09-12 18:47:16,20.0
19406,19648,233,7,7,2,2022-09-12 18:47:16,24.0
19409,19651,328,14,24,2,2022-09-12 18:50:33,18.0
19412,19654,703,14,24,2,2022-09-12 18:56:03,18.0
19414,19656,165,8,11,2,2022-09-12 18:58:47,20.0
19421,19663,184,21,11,2,2022-09-12 19:04:22,21.0
19422,19664,12,21,11,2,2022-09-12 19:04:31,21.0
19433,19675,385,137,19,2,2022-09-12 20:01:08,15.0
19436,19678,460,21,21,2,2022-09-12 20:05:59,10.0
19437,19679,117,38,21,2,2022-09-12 20:06:43,10.0
19444,19686,438,21,21,2,2022-09-12 20:16:38,10.0
19446,19688,282,14,24,2,2022-09-12 20:21:23,18.0
19447,19689,327,21,11,2,2022-09-12 20:21:25,21.0
19451,19693,119,21,21,2,2022-09-12 20:35:11,10.0
19453,19695,98,127,12,2,2022-09-12 20:38:31,12.0
19454,19696,81,127,12,2,2022-09-12 20:40:55,12.0
19456,19698,128,21,11,2,2022-09-12 20:54:30,21.0
19465,19707,73,21,21,2,2022-09-12 21:48:57,10.0
19466,19708,398,21,21,2,2022-09-12 21:49:04,10.0
19467,19709,436,40,21,2,2022-09-12 21:49:25,15.0
19473,19715,640,21,21,2,2022-09-12 22:16:44,10.0
19474,19716,306,14,24,2,2022-09-12 22:27:17,18.0
19481,19723,398,38,21,2,2022-09-12 23:37:37,10.0
19485,19727,327,14,11,2,2022-09-13 07:53:52,18.0
19486,19728,124,8,11,2,2022-09-13 08:37:17,20.0
19487,19729,124,8,11,2,2022-09-13 08:37:17,20.0
19488,19730,114,21,11,2,2022-09-13 09:30:43,21.0
19489,19731,153,8,30,2,2022-09-13 09:54:09,19.0
19490,19732,170,8,11,2,2022-09-13 10:02:27,20.0
19491,19733,198,8,11,2,2022-09-13 10:02:55,20.0
19492,19734,298,8,6,2,2022-09-13 10:35:59,20.0
19493,19735,113,8,12,2,2022-09-13 10:41:15,20.0
19494,19736,4,14,1,2,2022-09-13 10:50:46,18.0
19495,19737,302,8,6,2,2022-09-13 11:44:21,20.0
19496,19738,277,8,6,2,2022-09-13 11:44:38,20.0
19497,19739,118,8,2,2,2022-09-13 11:50:21,19.0
19498,19740,275,54,28,2,2022-09-13 11:58:50,19.0
19499,19741,165,8,11,2,2022-09-13 12:06:39,20.0
